language,sentences
en,"den squire, ""but she is notvery good; at"
fr,e avant qu'elle eût ouvert la bouche: Ma
es,e bien no se venga tan mal.Pero todas es
en,"e had to have a rosary, and he had none."
fr,"etirée dans un couvent. Quant à lui, l'i"
es,"vos, señor, le habéispintado, si carecie"
fr,"juste, aucune nepeut l'être), c'est alle"
es,"al caballo, bonitamente y sin ser sentid"
es," la verdad del caso, estaba suspensa y a"
en,"oso, fairest of the fair! since it hasfa"
fr,"s dames, principalementde Dorothée et de"
en,"eeper, who was distressed andastonished "
fr, sentiments;la sans pareille Dulcinée du
fr,vait en guise de rideaux deux vieillesse
es,"storbó; y, estando los dos atónitos,oyer"
fr,"devant tout lemonde, veut me reprendre l"
fr,", trop en colère poursouffrir que son éc"
fr,"onc ici? sera-t-il dit que, moiprésent e"
es,"cos años se debieron deir al cielo, porq"
fr,esoient vus dans le monde; que dis-je? l
es, en el pecho de vuesa merced como en su 
fr,nottes qu'on va te mettre? demanda Sanch
es,onces ni agora pude ni vi en quién tomar
fr,e campagne et l'apprentissage de sonnouv
es,"viviría contento. Yo no soy casado, ni h"
es,lerando el miserable plazo   a que me ha
es,"ianera, él se hallóuna y muy muchas vece"
es, de haber hecho la cabeza deltestamento 
es,"murmuren destaverdad, no se os dé dos ma"
es,"io donde le dejo.-¿Purgatorio le llamas,"
en,"the ring inthat city, in which he who wa"
es,"arándolosentre sí, pues, por fuerza, en "
es,"r algunas roturas, al tiento, en la dure"
es, Alculpado que cayere debajo de tu jurid
fr," et que tu finisses plus vite, j'ajoute "
es,ede tener sus puntas y collares de poeta
fr,"tout ceci, seigneur, est que vous laissi"
es,"para curar las heridas que recebían, por"
es, en perjuicio de la verdad y en menoscab
en,to depart was the showman: he was afraid
fr,ce daigne me donner l'îlequ'elle vient d
en,"der spurred him, the more impossible it "
fr, et tout à faitconforme au caractère de 
en,y returned to him that he did not pursue
es,s a un mismotiempo están dispuestas para
es,"aun el oidor,si no estuviera tan pensati"
fr,ent qu'ils ressemblent aux extravagances
es,"ase palabra hasta que selevantase; y él,"
es,ación de satisfaceros en todo lo que me 
es,"studiante, y dijo una de las guardas que"
es,"na conversación hasta el venidero día,do"
fr,"e, chez un de ses amis: mais revenant au"
fr,ien; le poëte peut raconter les événemen
fr,"arié ma filleselon mon goût, tu verras a"
en,ng failed tostrike a bargain with this r
es,"y aquel escudero suyo que anda, odebe de"
fr," Dulcinée. A la demande de ses maîtres, "
es,ecir que el Uchalí se salvó con toda su 
es," sabes tú, Sancho -dijo donQuijote-, que"
es,da.-Muy bien lo pinta y facilita vuestra
es, los turcos dieron orden endesmantelar l
es, más ronca y más endiablada:-Yo soy Arca
es,ostrándonos más agradecidos quequejosos;
fr," en venir aux mainsavec toi, comme l'aut"
es,", que ya estaba cansado de mentir tanto "
en,iver. The very first thing thatstruck th
es,e la honra de mi señor el duquevenía; y 
es,gas de tierra de sembradura paracomprar 
es,dito estimaba enmás que el suyo proprio.
fr, ils auraient pour armure les écaillesd'
fr,"e travail de la journée, au moins, la nu"
es,era si envuesa merced no lo hubiera vist
fr,"la Grande-Bretagne, rapporte qu'il nemou"
fr," lui ai fait perdre.De bon cœur, répondi"
es,"chomil islas que gobernar, cuanto más un"
fr,"si contreLuscinde, comme si elle eût pu "
fr,"n serait le nombre. Notre homme,après av"
en,"dressed like laborers, lying onthe grass"
fr,her sa passion.Après s'être recommandé a
es,"ueallí están, porque es manjar peliagudo"
fr,"ussi la tienne.Savez-vous bien, seigneur"
es,"ballero, que, habiendo recebido en este "
en, resembled the barber and thecurate ther
es,"tapolín del Arremangado Brazo, seguidme "
es,"u asno, con cuya compañíaiba tan content"
en,also some barley for Rocinante.While the
fr,dit don Quichotte; la nuit est si obscur
es,"rganta, no diez dedos de los labios, que"
es," Zoraida, por no leser al oidor posible "
es,"ponerla en el número de las otras, y que"
es,"r,que no era sangre, sino el bálsamo de "
fr," qu'onleur donne, sans marchander avec l"
fr,"eu la lui donne, que saintPierre les bén"
es," al gigante, y tenga cómodo parahacerte "
en,"ir village, in case Sanchoshould have a "
es,"tiéndoos, y os acometiera aunque verdade"
es, si ya la descompostura y flojedad no ca
fr,"es qu'on emploieafin de réussir, pourvu "
es," venta, no hay para qué darmepriesa a qu"
fr,as là oùje m'imagine. Pour l'heure panso
es,nombró en ella a una dama que sepodía du
es,"Sancho, Sancha,y cuando gobernador, seño"
es,s que no cojeéis del pieque cojea vuestr
es,n fueron los encantadores y verdugos que
fr,tout cela n'est qu'un aiguillon pour mon
fr,"rd je sauraibien m'en rendre maître, et "
es, dehaberle dado motivo para escribirlos.
es,"fingido encanto deDulcinea, de quien él "
es,"vedad para alterar de nuevolas cosas, y "
fr,"t Homerus_[73], il a dû se tenir longtem"
es,"tés caballero, mal parece tomaros con qu"
es,nes!''; por loscuales gritos nos vimos t
es,"a locura que nos aparta de vosotros, con"
es,"sus cautivos, que llegó a tener tres mil"
fr," de toutes ses précautions, ellealla don"
fr,"nte de le voir empalé, que lui-même enfi"
fr,ments d'amour du galant           cheval
es,"gos. Y, puesto que, aunque los conocía, "
fr,"ici au Toboso, et pourtant il y a trente"
en, were the great armies of the mighty emp
en,ent that had itnot been that she had cri
es,"llas; al cabo al cabo, cuando esperabapa"
fr,"n, qu'y a-t-il, ami? lui dit son maître,"
es,"a, su hija se afligía,Maritornes lloraba"
es, la imaginaciónde Camacho el desdén de Q
es,"í tendrán el fin,sin nombre, como el lin"
es, allí fue elllamar a su buen escudero Sa
es,ecirlos como las historias nos los cuent
es,cido en Majalahonda: dije discretos porq
es,"illárame yo, Sancho, si no mezclaras alg"
fr,l'hôtelier. Que direz-vous donc de ce Fé
en,he courtyard of the inn.Don Quixote plac
en," on, you rabble! I rely on the justice o"
fr,igneur châtelainsoit ou non dans l'autre
fr,"ourquoi donc, celui que le sort favorise"
fr," tu sois gouverneur, et disent que tout "
fr," mal est que l'île se cache, et qu'on ne"
es,"nque vas, porque así conviene para acaba"
es,"nos, con todaslas muestras de dolor y se"
es,d -respondió Sancho-: quizá será así; au
en,could prepare for anothersally at a more
fr,ui leconnaissent ne doutent pas qu'à pei
es,dos aquellos valles se estendía. Levantó
fr,idable envahir mes États et m'endépouill
es,"strasmercedes que las señoras de Aragón,"
fr,s'approcha aussi; Dorothée s'affermit su
fr,nière n'était qu'une feinte. Je ne suis 
fr,mais à coup sûr ils eussent éprouvé un s
fr," qu'il était, Sancho Panza leur tenaittê"
es,"aba, ya los ojos vueltos,el aliento cort"
fr,ermine un jour      Ma course et mes voy
fr,netombe jamais dans l'erreur.Secondement
es, a los prudentes y aplicados.-El pobre h
en, invited him to come into the inn and ea
es," por no sertodas deste lugar, me mostró "
en, of everything unclean and of all idlers
en,"covered them, now that he had become gov"
es,bía hecho. El ventero se desesperaba de 
es,"Quién, señor? -replicó el caído-: mi des"
es,"ced me la leyó, de manera que se la dije"
es,"tuespada para defenderme, si ya no viere"
es,"ni de malo ni de buen talante, en ningun"
fr,ins de tous côtés pour voir s'il n'y ava
es,"tro tiempo más cómodo, y vamos a buscar "
fr,nbien.Tu en as menti par la gorge! répli
fr,es. Elle rentra chez elleen disant qu'el
fr,"e rendre, est conduite en triomphe dans "
fr,"chotte; ne m'abuse point, monami, et ne "
es," muslos, y por detrástenía seis dedos me"
es,"ncia de las cosas,aunque sean buenas, ha"
es," voluntad. Y de aquí viene que, como la "
es,y ensayarse en lo quehabía de hacer en e
en,f what a fool he had made of himself. Sa
fr,"ilité; puis, lui et ses amisayant placé "
es, andantes pasados pasaron mucha malavent
fr,"ut jeté garrotté au fond d'un cachot, et"
fr,"it de notre côté, maisaussitôt qu'il a a"
fr,"t,  Et sans lui faire honneur lui font m"
es, era mandado.-Éste es El Caballero Plati
fr,"t don Quichotte, attachons ici mes armes"
es,"on encima de la camisa, sin dejarle toma"
es," obra sin ellas, se contentase, pues tod"
es,n en la cuenta de que eres de villana y 
fr,survint l'hôtelier (p. 11).]Pendant qu'i
es,"stos señores.Y, en diciendo esto, tocó e"
es,as la opinión del boticario toledano. Pu
es,Los músicoseran los regocijadores de la 
fr,"ône, setenait assis un vieillard vénérab"
fr,mparablementplus belle que toutes les au
fr,t d'avoir rétabli la princesse de Micomi
fr,"couché sur une botte de foin, mais si ma"
fr,deux méchants hommesbattent comme plâtre
en," age, with handsome features, wondered a"
es," don Quijote-, vámonos poco a poco, pues"
fr,nait de se passer. Après qu'ils se furen
es,"rados de labondad de la ciencia, y Corch"
es,"go, sino con Alá, porque despuésla vi do"
es,"ta presencia de Camila, lagravedad de su"
fr,"hotte.Il passa à une autre casse, où l'o"
fr,sins develours cramoisi. Au moment où do
es,L. De las discretas altercaciones que do
fr,aiten scène des alcades.Il ne faut pas y
fr,"répliqua Sancho; mais,encore une fois, D"
es,"iero saber es que me diga, sinañadir ni "
es,"restasen atento oído, especialmente Doro"
es,sasimesmo que se retirasen a la parte do
es,"discreto, Sancho cristiano y Sancho sinc"
es,ía proceder en infinito representarnos a
fr,"lles dames,et non avec ces femmes d'hida"
fr,"les cuisants soucisd'une flamme jalouse,"
es,sa como en mirar con qué amigas su mujer
fr,DUCHESSE.Craignant enfin d'avoir un jour
es,"ndo al fin, que es cuando se acaba la vi"
fr,"et de ses derniers jours.«Or, il advint,"
es,"cual, en camisa ydescalza, cogidos los c"
fr,"nse à la lettre de la SierraMorena, et c"
es,"ra, Sancho, ejercitar mis armas, y mi pr"
es,-: opinión fue de no séqué sabio que no 
es,"breros los quitaron del fuego, y, tendie"
en,"ile they were summing up, Don Quixote, h"
fr,"andés? En douze heures, il arriva àRome,"
es,"riz, heredera de un rico y grande estado"
es,de tu persona sobre mis hombros le tiene
fr,"e femme, mon cher Anselme, consiste avan"
en,"put the basin straight on hishead, and t"
es," di, labró esta cabeza, que tiene propie"
fr,ginedes ruses pour les opposer aux sienn
es, han de quitar la casa donde vive y sepr
es," contra vos comete,   ni a vuesas cuitas"
fr," de poule, bête farouche, tigreabominabl"
es,el principio de cadaverso había de poner
fr,"ensées, éclaircit les doutes, résout les"
es,decir que lo que se podía y debía hacer 
fr,tôt; un autre voulut recommencerl'épreuv
es,"llevan corazón, que no corazón tripas. Y"
es,"defensiva en elmundo, si no es embutirse"
es,"d.-Señor -respondió don Quijote-, eso no"
fr,mier.Il n'y a point de règle sans except
es,as dos cosas tienes enpeligro para que y
fr,"re voile pourl'Italie, et sur lequel je "
es,"leantes que dice, pero con los escuderos"
es,faltarán imperios quemandar ni a mí ínsu
fr,"ncho.A ces paroles, un des bandits qui l"
es,"s. Todo esto he dicho, ama mía,porque ve"
en,ing and everything that might be asked o
fr,presque jusqu'à terre;elles portaient su
en,might do battle and whose affections mig
en,r declinedgraciously all the offers that
es,"un real de a ocho como unmaravedí.Y, dán"
es,"que servir a Dios, primeramente, y luego"
es,"sias,   si te criaste en la Libia,   o e"
fr," telle, et non pour un châteauavec fossé"
es,que ella sola era la ocasión de toda aqu
es,"jo Sancho-, no diga la tal palabra, sino"
es," ver cautivos libres, ni moros cautivos,"
fr, nedevrait être confié qu'à des personne
es,"chó portodo el cuerpo de golpe, con lo c"
fr,"ra pas celui-ci,quoiqu'il ne soit qu'à m"
es,iso privarse del instrumento y causa que
fr,étranger. Avant son départ il avaiteu au
fr,"lles.Ma pauvre Thérèse, répliqua Sancho,"
es,"ancha, caballero andante y aventurero, y"
es,"como todos lo son, por sersentencias bre"
es, no lo declara; sólo le oyeron decir que
fr,erme de monseigneur le duc. Le jeune hom
en," wet tears. At last daylight came, and t"
fr,"ci, est  un fou sensé, un cerveau brûlé "
fr,"ur; car, je le sais, tu as la poigne un "
es,"ecebía, porque seimaginaba que, por gran"
es,", por lo que debes a tubondad fidelísima"
fr," Frontin, comme celui de Roger, encore m"
fr,paules pourront porter.CHAPITRE VIIIDU B
es,"a, pero no apoques tu ánimo tanto, que t"
fr,mpagnie était agréable et que tousavaien
fr,e. N'apercevez-vous pas unMore qui s'en 
es,"tos. Y, siendo esto así,razón sería se e"
es,"os-, hombresin juicio? ¿Quiéreste llevar"
fr,"t à moi, je suis quitte de ma parole, pu"
fr,ns reproche; il connaissait mon bienet m
es,oficio y ejercicio entre gente idiota y 
es,hermosa Dido mostraba verter lágrimas de
es," declare. Probóseme todo, faltó favor, n"
es,razón de dejar a suamo y volverse a su t
es,"an burlados.Llegó la noche, y cenó el go"
es,"scudosespañoles, de todo lo cual era señ"
en,f having been wronged bythe authorities.
es,ete: que tiene para sí ser tan locos los
fr,Toboso. Un profond silence régnaitdans t
es,"n minando hacia laparte donde él está, y"
es,"a, acudió a ver a su marido; y, viéndole"
es,"de forzar a que me busque esta noche, y "
es,"s dedesarmado, en sus estrechos greguesc"
fr,forterl'estomac.Pour qu'il dînât au frai
es,"e Vandalia, la más cruda yla más asada s"
es,alma te envía   envuelta entre mil sonet
fr, Panza estvenue au monde avec un sac de 
fr,"ndevérité, qu'à portée d'arquebuse on l'"
es,"con él tales hazañas, que tú te tengas p"
es,uenta de la grande aventura de la cueva 
en,ped forward and begged the duenna to giv
fr,"otre permission, je m'en vais au bord de"
fr,nt notre héros franchir le seuil de sa m
fr,revendication mieux que mauvais payement
en," this moment brayed mosttellingly, and D"
en,ce was struck by the unusual saneness of
fr,ourner les yeux de Ta Grandeur vers lech
es,"una serpiente de fuego, y él, así como l"
fr,"affaire, c'est qu'ils mouraient de faim,"
es,"sto,mezclándolos todos y cociéndolos un "
es,"onerse debajo de la caña, porver si la s"
fr,tômes que j'aperçois là-basdoivent être 
es,uellos bultosque por el mar se movían. E
es,stias han recebido muchos advertimientos
en,ne with the captive of her own free will
es, que le sédecir a voacé es que trata ver
fr,"ans ce pays, si ce n'est des canules de "
es,"n la silla, no podíasino estar en pie, o"
es,"tocaba a sus caballerías, pero no hay co"
